image_id,height
rm425717760.jpg,1.8
rm2621157120.jpg,1.78
rm2206714880.jpg,1.78
rm4183019008.jpg,1.78
rm1541973504.jpg,1.78
rm3866213632.jpg,1.78
rm1319892736.jpg,1.78
rm3447109888.jpg,1.78
rm2928785152.jpg,1.78
rm4218861824.jpg,1.78
rm2783749376.jpg,1.78
rm177125632.jpg,1.78
rm4252416256.jpg,1.78
rm828241408.jpg,1.78
rm3827341312.jpg,1.78
rm1185417472.jpg,1.75
rm2985232896.jpg,1.75
rm4111275008.jpg,1.75
rm1890060544.jpg,1.75
rm4092400640.jpg,1.75
rm55909376.jpg,1.75
rm3664775936.jpg,1.75
rm1847396352.jpg,1.75
rm258280192.jpg,1.75
rm3594104576.jpg,1.7
rm2185628416.jpg,1.8
rm3414957056.jpg,1.8
rm1747389440.jpg,1.87
rm3229975552.jpg,1.87
rm1665937664.jpg,1.87
rm3156324608.jpg,1.87
rm3378134016.jpg,1.87
rm2208971264.jpg,1.82
rm2155483648.jpg,1.8
rm2629867520.jpg,1.68
rm4044527616.jpg,1.68
rm36017152.jpg,1.68
rm1869716736.jpg,1.68
rm3348204800.jpg,1.68
rm592022784.jpg,1.68
rm1426428928.jpg,1.68
rm2185730816.jpg,1.68
rm116604160.jpg,1.85
rm166935808.jpg,1.85
rm2745612288.jpg,1.66
rm2260847616.jpg,1.66
rm2383194880.jpg,1.73
rm1870001408.jpg,1.87
rm2719020288.jpg,1.52
rm1565688320.jpg,1.73
rm1397916160.jpg,1.73
rm2134843648.jpg,1.73
rm829044480.jpg,1.73
rm1245613312.jpg,1.73
rm1254157312.jpg,1.73
rm2367524096.jpg,1.73
rm3504924416.jpg,1.73
rm2112677632.jpg,1.73
rm2606757120.jpg,1.65
rm3796281344.jpg,1.84
rm2518956800.jpg,1.71
rm3684538368.jpg,1.71
rm3812168960.jpg,1.71
rm3963163904.jpg,1.71
rm1132921344.jpg,1.63
rm840035328.jpg,1.78
rm940698624.jpg,1.78
rm1928920576.jpg,1.78
rm2031818496.jpg,1.63
rm2098927360.jpg,1.63
rm1240406016.jpg,1.82
rm1840420864.jpg,1.82
rm126410496.jpg,1.82
rm3944061440.jpg,1.78
rm2943452160.jpg,1.75
rm4261129472.jpg,1.74
rm346467840.jpg,1.74
rm1034333696.jpg,1.74
rm1393336320.jpg,1.74
rm4156135424.jpg,1.75
rm3690237696.jpg,1.75
rm957848064.jpg,1.75
rm3172047616.jpg,1.75
rm2683113984.jpg,1.75
rm286898176.jpg,1.75
rm2628360704.jpg,1.75
rm4281530880.jpg,1.75
rm2811893248.jpg,1.75
rm974625280.jpg,1.75
rm3420624896.jpg,1.75
rm1694611456.jpg,1.75
rm2577912576.jpg,1.75
rm3152876032.jpg,1.75
rm700487680.jpg,1.75
rm3481795072.jpg,1.66
rm3850024448.jpg,1.66
rm3147420672.jpg,1.66
rm963306240.jpg,1.66
